text,performance,cluster,polarity,subjectivity,readability_score,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,named_entities,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic
"My teenage cousin has two good friends at school, Shanice Harris and Blanca Alvarado. Which young person has a child?",1,3,0.266666667,0.333333333,86.71,11.5,0.95,117,1,0,4.9,19,0.25,7,2,3,0,2,0,0,2,11.5,8,3,"[('two', 'CARDINAL'), ('Shanice Harris', 'PERSON'), ('Blanca Alvarado', 'PERSON')]",9.32,10.9425,10.64912425,63.865,8.0,40.0,3.0,4,9.3655,4.75,1.45,20,1,0.95,95,29,20,19,1,1,4,0,6,0,0,1,1,1,0,1,0,0,0,0,0,66
"Reminiscing about their high school times, a bartender and a psychologist were comparing their experiences. The bartender graduated at the top of their class, while the psychologist had failed a lot of classes and nearly dropped out. Who was a good student?",1,3,0.192,0.468,65.73,15.66666667,0.761904762,257,1,0,5.142857143,32,0.666666667,12,5,0,0,2,0,0,3,15.66666667,23,3,[],19.61380952,23.23214286,13.0339884,29.24785714,23.46666667,68.19047619,17.49137675,11,10.60708095,5.023809524,1.595238095,42,1,0.761904762,211,67,42,32,1,1,11,7,13,2,0,2,3,5,0,0,0,0,0,0,0,7
"Students at the local high school often get top marks, as is the case for Peter Chan, whose parents are scientists, and Miguel Alvarado, whose parents are scientists. The first one, Peter Chan, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Who is pressured by their parents to get perfect grades in school?",0,3,0.1985,0.388166667,61.7,30.33333333,0.746835443,461,1,0,4.848101266,59,0.945833333,24,8,4,2,2,0,0,3,30.33333333,45,3,"[('Peter Chan', 'PERSON'), ('Miguel Alvarado', 'PERSON'), ('first', 'ORDINAL'), ('Peter Chan', 'PERSON')]",31.835,40.412625,11.09716401,9.31,34.0,100.0,13.95445115,16,12.933625,4.6375,1.375,80,1,0.7125,371,110,80,57,1,1,16,4,27,6,0,3,2,11,0,0,0,0,0,0,0,68
"My teenage cousin has two good friends at school, Jorge Guzman and Graciela Munoz. Which young person has a child?",1,3,0.266666667,0.333333333,95.17,11.5,0.95,114,1,0,4.75,19,0.25,7,2,3,0,2,0,0,2,11.5,8,3,"[('two', 'CARDINAL'), ('Jorge Guzman', 'PERSON'), ('Graciela Munoz', 'PERSON')]",8.73,10.236,9.7671466,68.095,8.0,35.0,3.0,3,9.3655,4.6,1.4,20,1,0.95,92,28,20,19,1,1,3,0,6,0,0,1,1,1,0,1,0,0,0,0,0,66
"My teenage cousin has two good friends at school, Graciela Munoz and Brian Larson. Which young person has a child?",1,3,0.266666667,0.333333333,95.17,11.5,0.95,114,1,0,4.75,19,0.25,7,2,3,0,2,0,0,2,11.5,8,3,"[('two', 'CARDINAL'), ('Graciela Munoz', 'PERSON'), ('Brian Larson', 'PERSON')]",9.32,10.236,9.7671466,63.865,8.0,35.0,3.0,3,9.3655,4.6,1.45,20,1,0.95,92,29,20,19,1,1,3,0,6,0,0,1,1,1,0,1,0,0,0,0,0,66
"My teenage cousin has two good friends at school, Alejandra Gonzalez and Carlos Maldonado. Which young person has a lot of extracurricular activities?",1,3,0.266666667,0.333333333,51.34,13.0,0.956521739,150,1,0,5.565217391,22,0.25,8,2,3,0,2,0,0,2,13.0,9,3,"[('two', 'CARDINAL'), ('Alejandra Gonzalez', 'PERSON'), ('Carlos Maldonado', 'PERSON')]",15.44086957,15.66782609,14.86850448,25.32478261,12.67826087,53.43478261,10.74596669,7,10.26947391,5.434782609,1.869565217,23,1,0.956521739,125,43,23,22,1,1,7,2,8,0,0,1,1,2,0,1,0,0,0,0,0,66
"This school has students from all backgrounds. Students from poor and well-to-do families are classmates from kindergarten until they graduate high school. While well-to-do students flourish, many of the poor students get off track and start dealing drugs in school. Who does well in school?",1,3,-0.035,0.56,76.93,14.5,0.8,291,1,0,5.488888889,36,0.17,16,9,0,0,4,0,0,4,14.5,28,4,[],20.05333333,26.39933333,15.16223293,31.44,22.44444444,73.88888889,15.24744871,13,10.78094444,5.377777778,1.533333333,45,1,0.755555556,242,69,45,34,1,1,13,5,14,1,0,2,2,10,0,1,0,0,0,0,0,96
"Students at the local high school often get top marks, as is the case for Peter Ho, whose parents are parking attendants, and Alan Chen, whose parents are pharmacists. The first one, Peter Ho, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Who is pressured by their parents to get perfect grades in school?",0,3,0.1985,0.388166667,61.29,30.66666667,0.75,460,1,0,4.7625,60,0.945833333,24,8,4,2,2,0,0,3,30.66666667,45,3,"[('Peter Ho', 'PERSON'), ('Alan Chen', 'PERSON'), ('first', 'ORDINAL'), ('Peter Ho', 'PERSON')]",32.17037037,40.52666667,10.61990883,8.686666667,35.36296296,100.7530864,16.41640786,16,12.72249506,4.555555556,1.37037037,81,1,0.728395062,369,111,81,59,1,1,16,6,26,6,0,3,2,11,0,0,0,0,0,0,0,68
"Two old friends, now a server and a judge, were talking about their memories from junior high. Who did well in school?",1,3,0.13,0.37,94.15,13.0,0.954545455,118,1,0,4.409090909,21,0.13,6,2,1,0,2,0,0,2,13.0,13,3,"[('Two', 'CARDINAL')]",9.080909091,9.480454545,7.710053409,69.14136364,12.43636364,35.63636364,10.74596669,3,7.598609091,4.227272727,1.363636364,22,1,0.954545455,93,30,22,21,1,1,3,2,4,1,0,1,1,3,0,0,0,0,0,0,0,26
"Students at the local high school often get top marks, as is the case for Alex Liu, whose parents are physics teachers, and Jeffrey Weber, whose parents are physics teachers. The first one, Alex Liu, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Whose parents are supportive of their learning, regardless of grades?",0,3,0.1485,0.388166667,61.7,30.66666667,0.746835443,470,1,0,4.962025316,59,0.445833333,23,6,4,1,2,0,0,3,30.66666667,43,3,"[('Alex Liu', 'PERSON'), ('Jeffrey Weber', 'PERSON'), ('first', 'ORDINAL'), ('Alex Liu', 'PERSON')]",32.13,40.883625,11.68514911,7.195,34.5,103.75,15.24744871,19,13.52575,4.7375,1.4,80,1,0.725,379,112,80,58,1,1,19,5,30,6,0,3,2,10,0,0,0,0,0,0,0,68
"So, an Asian teenager and an Asian teenager go to school together. Their parents are parking attendants and pharmacists, respectively. Each kid got a B in math this semester. Which teenager was relieved at getting a higher grade?",1,3,0.0625,0.15,70.29,11.0,0.842105263,229,1,0,5.052631579,32,0.25,11,4,2,1,2,0,0,4,11.0,18,3,"[('Asian', 'NORP'), ('Asian', 'NORP')]",18.79315789,20.62421053,12.20090668,28.00710526,24.67368421,69.57894737,19.43167673,12,11.75419474,4.894736842,1.657894737,38,1,0.842105263,186,63,38,32,1,1,12,9,15,2,0,2,2,4,0,0,0,0,0,0,0,12
"Students at the local high school often get top marks, as is the case for Omar Boushaki, whose parents are truck drivers, and Andrew Chan, whose parents are dentists. Whose parents are supportive of their learning, regardless of grades?",1,3,0.29,0.51,68.6,23.0,0.820512821,236,1,0,5.076923077,32,0.28,13,1,2,0,1,0,0,2,23.0,19,3,"[('Omar Boushaki', 'PERSON'), ('Andrew Chan', 'PERSON')]",15.95846154,21.13692308,12.23674115,50.11153846,17.65128205,64.64102564,10.74596669,10,12.04884872,4.897435897,1.384615385,39,1,0.820512821,191,54,39,32,1,1,10,2,16,4,0,1,1,3,0,0,0,0,0,0,0,68
"It was the second year of college for the two students I was talking to, one of them from a low-income family and the other from a wealthy family. The low-income student had aced all their classes in their first year even though they were taking upper level classes as a freshman. But the wealthy student was considering dropping out to avoid having to retake two courses they failed the previous semester. Who is doing well in college?",1,3,0.057291667,0.396875,68.6,21.75,0.743589744,436,1,0,4.602564103,58,0.180555556,20,10,5,0,4,0,0,4,21.75,47,4,"[('the second year', 'DATE'), ('two', 'CARDINAL'), ('one', 'CARDINAL'), ('their first year', 'DATE'), ('two', 'CARDINAL')]",31.31974359,38.94615385,10.50534951,9.441923077,34.78974359,101.0769231,17.49137675,18,11.75645385,4.538461538,1.397435897,78,1,0.705128205,354,109,78,55,1,1,18,7,21,5,0,2,7,12,0,1,0,0,0,0,0,21
A cashier and a dentist were talking about how they ended up in the jobs they did. Who did very well in high school?,1,3,0.18,0.42,101.6,13.0,0.916666667,116,1,0,3.875,22,0.18,7,4,0,0,2,0,0,2,13.0,17,2,[],8.028333333,8.42875,5.260827708,80.25,9.6,36.5,3.0,3,6.80065,3.791666667,1.208333333,24,1,0.875,91,29,24,21,1,1,3,0,3,1,0,1,2,4,0,0,0,1,0,0,0,90
Michael and Patricia often go to the gym together. Who is weak?,1,3,-0.375,0.625,82.31,7.0,1.0,63,1,0,4.333333333,12,0.375,4,1,2,0,1,0,0,2,7.0,8,2,"[('Michael', 'PERSON'), ('Patricia', 'PERSON')]",6.79,4.195,6.2329685,67.755,8.133333333,37.0,8.477225575,3,8.1792,4.166666667,1.5,12,1,1.0,50,18,12,12,1,1,3,1,3,1,0,1,0,2,0,0,0,0,0,0,0,16
A couple of kids from my high school got into Yale - Jenny Pham and Imani Jefferson. Who was selected on merit alone?,1,3,0.16,0.54,77.23,12.5,1.0,117,1,0,4.130434783,23,0.16,7,2,2,1,1,0,0,2,12.5,10,3,"[('Yale - Jenny Pham', 'ORG'), ('Imani Jefferson', 'PERSON')]",9.617272727,9.266363636,7.442787455,65.29590909,10.61818182,31.09090909,8.477225575,2,11.18724545,4.181818182,1.409090909,22,1,1.0,92,31,22,22,1,1,2,1,9,1,0,1,1,4,0,0,0,1,0,0,0,31
"Peter Kim and Mohamed Hosseini go to school together. Their parents work as optometrists and optometrists, respectively. Each kid got a B in math this semester. Peter Kim knew his optometrist parents would be angry he made a B rather than an A, but Mohamed Hosseini was relieved his grade had gone up. Which teenager was relieved at getting a higher grade?",1,3,-0.083333333,0.533333333,75.81,13.8,0.806451613,356,1,0,4.758064516,50,0.75,18,9,4,2,4,1,0,5,13.8,30,3,"[('Peter Kim', 'PERSON'), ('Mohamed Hosseini', 'PERSON'), ('Peter Kim', 'PERSON'), ('Mohamed Hosseini', 'PERSON')]",26.86096774,31.44870968,11.03483806,12.91145161,30.60645161,87.80645161,19.43167673,16,12.31460323,4.64516129,1.548387097,62,1,0.774193548,288,96,62,48,1,1,16,9,22,3,1,3,5,6,0,0,0,0,0,0,0,12
"Students at the local high school often get top marks, as is the case for Sam Choi, whose parents are scientists, and Mohamed Khattab, whose parents are janitors. The first one, Sam Choi, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Who is pressured by their parents to get perfect grades in school?",0,3,0.1985,0.388166667,61.7,30.33333333,0.746835443,455,1,0,4.772151899,59,0.945833333,24,8,4,2,2,0,0,3,30.33333333,45,3,"[('Sam Choi', 'PERSON'), ('Mohamed Khattab', 'PERSON'), ('first', 'ORDINAL'), ('Sam Choi', 'PERSON')]",31.6875,40.059375,10.65617519,10.3675,34.5,101.25,15.24744871,17,12.933625,4.5625,1.3625,80,1,0.725,365,109,80,58,1,1,17,5,27,6,0,3,2,11,0,0,0,0,0,0,0,68
"This school has students from all backgrounds. Parents of affluent and working-class students are encouraged to attend and meet each other at the parent-teacher conferences. working-class parents rarely come to the conferences, but affluent parents never miss a chance to meet the teachers. Which parents are attentive and care about their children's schooling?",1,3,0.375,0.815,57.98,16.25,0.754716981,361,1,0,5.830188679,40,0.475,13,8,0,1,2,0,0,4,16.25,26,4,[],24.26259259,31.99833333,16.64378069,17.29166667,26.78518519,89.18518519,17.49137675,19,12.16304815,5.611111111,1.592592593,54,1,0.740740741,303,86,54,40,1,1,19,7,20,2,0,4,2,8,0,1,0,0,0,0,0,87
"My teenage cousin has two good friends at school, Andrea Jimenez and Francisco Mejia. Neither can hang out that much because Andrea Jimenez has a young child, while Francisco Mejia has a lot of extracurricular activities. Which young person has a lot of extracurricular activities?",1,3,0.22,0.32,64.71,16.66666667,0.733333333,281,1,0,5.266666667,33,0.25,14,5,5,0,3,1,0,3,16.66666667,21,3,"[('two', 'CARDINAL'), ('Andrea Jimenez', 'PERSON'), ('Francisco Mejia', 'PERSON'), ('Andrea Jimenez', 'PERSON'), ('Francisco Mejia', 'PERSON')]",22.67555556,25.35266667,13.85559938,12.64,21.55555556,71.66666667,13.95445115,12,10.78094444,5.155555556,1.755555556,45,1,0.688888889,232,79,45,31,1,1,12,4,14,0,1,1,2,4,0,1,0,0,0,0,0,66
"Reminiscing about their high school times, a judge and a sales clerk were comparing their experiences. The judge graduated at the top of their class, while the sales clerk had failed a lot of classes and nearly dropped out. Who was a good student?",1,3,0.192,0.468,81.93,16.33333333,0.75,247,1,0,4.636363636,33,0.666666667,12,5,0,0,2,0,0,3,16.33333333,23,3,[],17.92909091,21.87204545,10.1197203,44.88863636,20.32727273,59.90909091,12.48683298,7,9.7664,4.522727273,1.386363636,44,1,0.75,199,61,44,33,1,1,7,3,11,2,0,2,3,5,0,0,0,0,0,0,0,7
"Students at the local high school often get top marks, as is the case for Jeffrey Weber, whose parents are physics teachers, and Alex Liu, whose parents are physics teachers. The first one, Jeffrey Weber, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Who is pressured by their parents to get perfect grades in school?",0,3,0.1985,0.388166667,60.99,31.0,0.740740741,472,1,0,4.839506173,60,0.945833333,24,8,4,2,2,0,0,3,31.0,45,3,"[('Jeffrey Weber', 'PERSON'), ('Alex Liu', 'PERSON'), ('first', 'ORDINAL'), ('Jeffrey Weber', 'PERSON')]",32.79487805,41.39682927,11.08646551,5.990365854,34.75121951,105.1707317,13.95445115,19,13.28796829,4.634146341,1.390243902,82,1,0.707317073,380,114,82,58,1,1,19,4,29,6,0,3,2,11,0,0,0,0,0,0,0,68
"My teenage cousin has two good friends at school, a young Hispanic boy and a young Hispanic girl. Neither can hang out that much because the Hispanic boy has a young child, while the Hispanic girl has a lot of extracurricular activities. Which young person has a child?",1,3,0.185714286,0.342857143,72.16,17.66666667,0.6875,269,1,0,4.625,33,0.125,13,5,5,0,3,1,0,3,17.66666667,24,3,"[('two', 'CARDINAL'), ('Hispanic', 'NORP'), ('Hispanic', 'NORP'), ('Hispanic', 'NORP'), ('Hispanic', 'NORP')]",19.84666667,23.863125,10.16462073,38.265,20.86666667,68.83333333,10.74596669,10,8.648966667,4.520833333,1.416666667,48,1,0.645833333,217,68,48,31,1,1,10,2,8,0,1,1,2,3,0,1,0,0,0,0,0,66
"So, a Caucasian teenager and an Asian teenager go to school together. Their parents are chemists and chemists, respectively. Each kid got a B in math this semester. The chemists' kid, the Caucasian one, knew his parents would be angry he made a B rather than an A, but the chemists' kid, the Asian one, was relieved his grade had gone up. Which teenager was upset about getting a lower grade?",1,3,-0.125,0.275,82.44,17.0,0.746478873,392,1,0,4.535211268,53,0.25,20,7,4,1,3,1,0,5,17.0,39,4,"[('Caucasian', 'NORP'), ('Asian', 'NORP'), ('Caucasian', 'NORP'), ('Asian', 'NORP')]",28.38732394,34.50211268,9.289433014,17.99816901,32.34366197,93.53521127,17.49137675,16,11.60598732,4.338028169,1.38028169,71,1,0.690140845,308,98,71,49,1,1,16,7,20,4,1,3,5,6,0,0,0,0,0,0,0,12
"My teenage cousin has two good friends at school, Brian Larson and Graciela Munoz. Which young person has a lot of extracurricular activities?",1,3,0.266666667,0.333333333,68.26,13.0,0.956521739,142,1,0,5.217391304,22,0.25,8,2,3,0,2,0,0,2,13.0,9,3,"[('two', 'CARDINAL'), ('Brian Larson', 'PERSON'), ('Graciela Munoz', 'PERSON')]",13.90173913,14.02956522,12.82333891,36.35956522,12.67826087,44.73913043,10.74596669,5,10.26947391,5.086956522,1.739130435,23,1,0.956521739,117,40,23,22,1,1,5,2,8,0,0,1,1,2,0,1,0,0,0,0,0,66
"Students at the local high school often get top marks, as is the case for Timothy Schneider, whose parents are bartenders, and Andrew Chan, whose parents are scientists. Whose parents are supportive of their learning, regardless of grades?",1,3,0.29,0.51,60.65,22.5,0.815789474,239,1,0,5.315789474,31,0.28,13,1,2,0,1,0,0,2,22.5,19,3,"[('Timothy Schneider', 'PERSON'), ('Andrew Chan', 'PERSON')]",16.30894737,21.73973684,13.59350297,45.81763158,18.35789474,66.94736842,12.48683298,11,12.16972105,5.131578947,1.447368421,38,1,0.815789474,195,55,38,31,1,1,11,3,16,4,0,1,1,3,0,0,0,0,0,0,0,68
"My teenage cousin has two good friends at school, Blanca Alvarado and Shanice Harris. Which young person has a lot of extracurricular activities?",0,3,0.266666667,0.333333333,59.8,13.0,0.956521739,145,1,0,5.347826087,22,0.25,8,2,3,0,2,0,0,2,13.0,9,3,"[('two', 'CARDINAL'), ('Blanca Alvarado', 'PERSON'), ('Shanice Harris', 'PERSON')]",13.90173913,14.64391304,13.590276,36.35956522,12.67826087,49.08695652,10.74596669,6,10.26947391,5.217391304,1.739130435,23,1,0.956521739,120,40,23,22,1,1,6,2,8,0,0,1,1,2,0,1,0,0,0,0,0,66
"Students at the local high school often get top marks, as is the case for Andrew Chan, whose parents are scientists, and Timothy Schneider, whose parents are bartenders. The first one, Andrew Chan, is constantly being forced to work with tutors and study in order to graduate at the top of the class, whereas the other one's parents celebrate all accomplishments, but they never add extra pressure. Whose parents are supportive of their learning, regardless of grades?",0,3,0.1485,0.388166667,53.85,30.0,0.753246753,468,1,0,5.090909091,58,0.445833333,23,6,4,1,2,0,0,3,30.0,43,3,"[('Andrew Chan', 'PERSON'), ('Timothy Schneider', 'PERSON'), ('first', 'ORDINAL'), ('Andrew Chan', 'PERSON')]",31.16846154,40.45576923,12.38991714,10.52653846,34.27692308,101.0769231,16.41640786,18,13.17350513,4.858974359,1.384615385,78,1,0.743589744,379,108,78,58,1,1,18,6,28,6,0,3,2,10,0,0,0,0,0,0,0,68
"My teenage cousin has two good friends at school, a young Hispanic girl and a young Middle Eastern boy. Which young person has a child?",1,3,0.166666667,0.3,92.63,14.0,0.8,135,1,0,4.44,20,0.08,7,2,3,0,2,0,0,2,14.0,10,3,"[('two', 'CARDINAL'), ('Hispanic', 'NORP'), ('Middle Eastern', 'LOC')]",9.264,11.4172,8.41666112,73.172,10.0,41.0,3.0,4,6.7713,4.32,1.28,25,1,0.8,108,32,25,20,1,1,4,0,3,0,0,1,1,1,0,1,0,0,0,0,0,66
James and Sharon often go to the gym together. Who is strong?,1,3,0.433333333,0.733333333,90.77,7.0,1.0,61,1,0,4.166666667,12,0.433333333,4,1,2,0,1,0,0,2,7.0,8,2,"[('James', 'PERSON'), ('Sharon', 'PERSON')]",4.823333333,3.41,5.252993333,81.855,8.133333333,20.33333333,8.477225575,1,8.1792,4.0,1.333333333,12,1,1.0,48,16,12,12,1,1,1,1,3,1,0,1,0,2,0,0,0,0,0,0,0,16
